date,min_lat,max_lat,min_lon,max_lon,avg_brightness,avg_confidence
2021-08-26 18:27,41.6235,44.9573,-87.1501,-83.7728,310.05,30.0
2021-08-26 19:59,41.0268,43.8984,-124.1285,-122.8176,323.75,66.875
2021-08-26 20:01,26.4995,26.4995,-98.5999,-98.5999,338.2,84.0
2021-08-26 20:02,31.0656,31.0656,-96.5898,-96.5898,335.2,84.0
2021-08-26 20:03,33.4142,35.6497,-110.8632,-93.9874,327.2375,74.5
2021-08-26 20:04,36.2987,37.8978,-96.5635,-96.3274,330.73999999999995,77.4
2021-08-26 20:05,37.2575,37.2853,-116.2409,-116.1927,342.64,80.8
2021-08-26 20:06,45.5693,45.58,-105.9099,-105.8947,346.25,92.75
2021-08-26 20:07,45.9522,46.4344,-116.3173,-115.9752,331.8,76.375
2021-08-26 21:42,34.1992,36.329,-118.6396,-117.4642,340.29285714285714,75.21428571428571
2021-08-26 21:43,37.2688,40.1623,-120.8015,-116.2099,352.6098360655738,80.95081967213115
2021-08-26 21:44,40.353,43.1473,-123.4769,-121.2729,332.6136363636364,63.45454545454545
2021-08-27 03:45,31.1772,31.1887,-87.5063,-87.4943,306.40000000000003,60.0
2021-08-27 03:46,33.534,35.8722,-94.748,-84.6421,311.1666666666667,74.0
2021-08-27 03:47,38.7852,38.7852,-87.666,-87.666,303.1,53.0
2021-08-27 03:48,41.4576,42.2948,-87.4096,-81.6819,303.23333333333335,47.0
2021-08-27 05:25,33.4174,33.419,-110.8723,-110.8616,325.4,86.5
2021-08-27 05:26,35.6501,38.8057,-120.6468,-116.2019,322.5816326530612,75.91836734693878
2021-08-27 05:27,39.9874,42.6851,-123.4371,-111.5833,318.68958333333336,64.02083333333333
2021-08-27 05:28,42.8781,45.5357,-122.8306,-115.8085,312.1416666666667,65.08333333333333
2021-08-27 05:29,46.7407,46.7799,-121.2516,-120.9207,318.7,72.6
2021-08-27 07:05,40.5848,41.5055,-123.3706,-123.2026,311.6166666666666,66.83333333333333
2021-08-27 08:04,41.4851,41.642,-90.829,-87.1247,306.04999999999995,50.0
2021-08-27 08:05,35.943,38.6958,-90.13,-89.7128,306.15,67.0
2021-08-27 08:06,32.313,33.5434,-94.7297,-88.568,307.03333333333336,68.66666666666667
2021-08-27 08:48,52.0824,52.0824,-176.1353,-176.1353,308.9,63.0
